id,x,y,z
107,-161.0130949,16.9231582,0
108,-161.0130949,-16.9231582,0
109,-153.97605,-50.02985139,0
110,-140.2095129,-80.95,0
111,-120.3151472,-108.3322452,0
112,-95.16243235,-130.9798514,0
113,-65.85066251,-147.9030096,0
114,-33.66090274,-158.3620966,0
115,18.01025422,-171.3561226,0
116,53.24362813,-163.8670378,0
117,86.15,-149.2161771,0
118,115.2912035,-128.0438534,0
119,139.3936281,-101.275399,0
120,157.4038824,-70.0807236,0
121,168.5348316,-35.82318433,0
122,168.5348316,35.82318433,0
123,157.4038824,70.0807236,0
124,139.3936281,101.275399,0
125,115.2912035,128.0438534,0
126,86.15,149.2161771,0
127,53.24362813,163.8670378,0
128,18.01025422,171.3561226,0
129,-18.01025422,171.3561226,0
130,-53.24362813,163.8670378,0
131,-86.15,149.2161771,0
132,-115.2912035,128.0438534,0
133,-139.3936281,101.275399,0
134,-157.4038824,70.0807236,0
135,-168.5348316,35.82318433,0
136,-168.5348316,-35.82318433,0
137,-157.4038824,-70.0807236,0
138,-139.3936281,-101.275399,0
139,-115.2912035,-128.0438534,0
140,-86.15,-149.2161771,0
141,-53.24362813,-163.8670378,0
142,-18.01025422,-171.3561226,0
143,38.11021293,-179.2944552,0
144,74.55482668,-167.4528824,0
145,107.7410367,-148.2928151,0
146,136.2184465,-122.6516401,0
147,158.7424565,-91.65,0
148,174.3286594,-56.64281507,0
149,182.2958634,-19.16006732,0
150,182.2958634,19.16006732,0
151,174.3286594,56.64281507,0
152,158.7424565,91.65,0
153,136.2184465,122.6516401,0
154,107.7410367,148.2928151,0
155,74.55482668,167.4528824,0
156,38.11021293,179.2944552,0
157,2.24E-14,183.3,0
158,-38.11021293,179.2944552,0
159,-74.55482668,167.4528824,0
160,-107.7410367,148.2928151,0
161,-136.2184465,122.6516401,0
162,-158.7424565,91.65,0
163,-174.3286594,56.64281507,0
164,-182.2958634,19.16006732,0
165,-182.2958634,-19.16006732,0
166,-174.3286594,-56.64281507,0
167,-158.7424565,-91.65,0
168,-136.2184465,-122.6516401,0
169,-107.7410367,-148.2928151,0
170,-74.55482668,-167.4528824,0
171,-38.11021293,-179.2944552,0
172,20.30988041,-193.2356043,0
173,60.04200201,-184.7902811,0
174,97.15,-168.268736,0
175,130.0120768,-144.3930396,0
176,157.192002,-114.2066745,0
177,177.5018824,-79.02892975,0
178,190.0540788,-40.39724153,0
179,190.0540788,40.39724153,0
180,177.5018824,79.02892975,0
181,157.192002,114.2066745,0
182,130.0120768,144.3930396,0
183,97.15,168.268736,0
184,60.04200201,184.7902811,0
185,20.30988041,193.2356043,0
186,-20.30988041,193.2356043,0
187,-60.04200201,184.7902811,0
188,-97.15,168.268736,0
189,-130.0120768,144.3930396,0
190,-157.192002,114.2066745,0
191,-177.5018824,79.02892975,0
192,-190.0540788,40.39724153,0
193,-190.0540788,-40.39724153,0
194,-177.5018824,-79.02892975,0
195,-157.192002,-114.2066745,0
196,-130.0120768,-144.3930396,0
197,-97.15,-168.268736,0
198,-60.04200201,-184.7902811,0
199,-20.30988041,-193.2356043,0
200,42.95455532,-202.0852943,0
201,84.03179046,-188.7384915,0
202,121.4364331,-167.142911,0
203,153.5337209,-138.2423833,0
204,178.9208484,-103.3,0
205,196.4882763,-63.84291104,0
206,205.4682236,-21.59558051,0
207,205.4682236,21.59558051,0
208,196.4882763,63.84291104,0
209,178.9208484,103.3,0
210,153.5337209,138.2423833,0
211,121.4364331,167.142911,0
212,84.03179046,188.7384915,0
213,42.95455532,202.0852943,0
214,2.53E-14,206.6,0
215,-42.95455532,202.0852943,0
216,-84.03179046,188.7384915,0
217,-121.4364331,167.142911,0
218,-153.5337209,138.2423833,0
219,-178.9208484,103.3,0
220,-196.4882763,63.84291104,0
221,-205.4682236,21.59558051,0
222,-205.4682236,-21.59558051,0
223,-196.4882763,-63.84291104,0
224,-178.9208484,-103.3,0
225,-153.5337209,-138.2423833,0
226,-121.4364331,-167.142911,0
227,-84.03179046,-188.7384915,0
228,-42.95455532,-202.0852943,0
229,22.75584645,-216.5074166,0
230,67.27299968,-207.0450036,0
231,108.85,-188.5337304,0
232,145.669733,-161.7826285,0
233,176.1229997,-127.9608494,0
234,198.8788461,-88.5465672,0
235,212.9427327,-45.26237509,0
236,212.9427327,45.26237509,0
237,198.8788461,88.5465672,0
238,176.1229997,127.9608494,0
239,145.669733,161.7826285,0
240,108.85,188.5337304,0
241,67.27299968,207.0450036,0
242,22.75584645,216.5074166,0
243,-22.75584645,216.5074166,0
244,-67.27299968,207.0450036,0
245,-108.85,188.5337304,0
246,-145.669733,161.7826285,0
247,-176.1229997,127.9608494,0
248,-198.8788461,88.5465672,0
249,-212.9427327,45.26237509,0
250,-212.9427327,-45.26237509,0
251,-198.8788461,-88.5465672,0
252,-176.1229997,-127.9608494,0
253,-145.669733,-161.7826285,0
254,-108.85,-188.5337304,0
255,-67.27299968,-207.0450036,0
256,-22.75584645,-216.5074166,0
257,47.59098603,-223.8979858,0
258,93.1020176,-209.1105553,0
259,134.5440442,-185.18399,0
260,170.1058506,-153.1639958,0
261,198.2332149,-114.45,0
262,217.6968366,-70.73399001,0
263,227.6460618,-23.92656524,0
264,227.6460618,23.92656524,0
265,217.6968366,70.73399001,0
266,198.2332149,114.45,0
267,170.1058506,153.1639958,0
268,134.5440442,185.18399,0
269,93.1020176,209.1105553,0
270,47.59098603,223.8979858,0
