id,x,y,z,type
235,93.2,-106.0,0.0,MM
236,146.8,-104.8,0.0,MM
237,134.4,-104.8,0.0,MM
238,-92.8,-105.6,0.0,MM
239,122.8,-104.4,0.0,MM
240,81.2,-104.4,0.0,MM
241,-123.6,-104.4,0.0,MM
242,186.0,-103.6,0.0,MM
243,-82.0,-103.6,0.0,MM
244,-135.6,-103.6,0.0,MM
245,-147.6,-103.6,0.0,MM
246,159.6,-102.4,0.0,MM
247,200.0,-102.0,0.0,MM
248,172.4,-102.0,0.0,MM
249,48.0,-102.0,0.0,MM
250,-186.8,-102.0,0.0,MM
251,214.0,-101.2,0.0,MM
252,70.0,-100.8,0.0,MM
253,-49.6,-101.6,0.0,MM
254,-160.4,-101.2,0.0,MM
255,-172.8,-100.8,0.0,MM
256,-200.4,-101.2,0.0,MM
257,-70.8,-100.4,0.0,MM
258,26.8,-99.6,0.0,MM
259,-214.4,-99.6,0.0,MM
260,227.6,-98.8,0.0,MM
261,-27.6,-98.8,0.0,MM
262,276.0,-97.2,0.0,MM
263,258.0,-97.2,0.0,MM
264,241.2,-97.2,0.0,MM
265,58.8,-97.2,0.0,MM
266,-59.6,-97.2,0.0,MM
267,-228.4,-97.2,0.0,MM
268,-241.2,-96.0,0.0,MM
269,-259.6,-96.4,0.0,MM
270,104.0,-95.6,0.0,MM
271,39.2,-95.6,0.0,MM
272,-40.0,-95.6,0.0,MM
273,-276.8,-95.6,0.0,MM
274,92.8,-94.8,0.0,MM
275,-104.8,-94.8,0.0,MM
276,131.6,-94.0,0.0,MM
277,118.8,-93.6,0.0,MM
278,-93.2,-94.0,0.0,MM
279,144.4,-93.2,0.0,MM
280,81.2,-93.2,0.0,MM
281,-120.4,-93.2,0.0,MM
282,-132.4,-93.2,0.0,MM
283,155.6,-92.4,0.0,MM
284,-82.4,-92.4,0.0,MM
285,-144.0,-92.4,0.0,MM
286,166.8,-91.2,0.0,MM
287,17.2,-91.2,0.0,MM
288,193.2,-90.8,0.0,MM
289,-17.6,-90.8,0.0,MM
290,-156.4,-90.8,0.0,MM
291,206.0,-90.4,0.0,MM
292,179.6,-90.4,0.0,MM
293,70.0,-90.0,0.0,MM
294,-70.8,-89.6,0.0,MM
295,-167.6,-90.4,0.0,MM
296,-180.0,-89.6,0.0,MM
297,-193.2,-90.0,0.0,MM
298,-206.8,-89.2,0.0,MM
299,220.0,-88.4,0.0,MM
300,31.2,-87.6,0.0,MM
301,-32.0,-87.6,0.0,MM
302,-220.0,-87.2,0.0,MM
303,232.4,-86.8,0.0,MM
304,57.6,-86.0,0.0,MM
305,262.8,-84.8,0.0,MM
306,246.0,-85.2,0.0,MM
307,-58.8,-85.6,0.0,MM
308,-233.2,-85.2,0.0,MM
309,280.4,-84.4,0.0,MM
310,102.8,-84.4,0.0,MM
311,114.4,-83.6,0.0,MM
312,91.6,-83.6,0.0,MM
313,-92.4,-83.2,0.0,MM
314,-103.6,-83.6,0.0,MM
315,-115.2,-83.2,0.0,MM
316,-246.8,-83.6,0.0,MM
317,-264.0,-83.6,0.0,MM
318,139.6,-82.4,0.0,MM
319,127.6,-82.8,0.0,MM
320,-280.4,-82.4,0.0,MM
321,296.4,-82.0,0.0,MM
322,80.4,-82.0,0.0,MM
323,44.8,-82.0,0.0,MM
324,-45.2,-82.0,0.0,MM
325,-128.4,-82.0,0.0,MM
326,-140.0,-82.0,0.0,MM
327,150.8,-81.6,0.0,MM
328,22.0,-81.2,0.0,MM
329,-22.4,-81.2,0.0,MM
330,-81.2,-81.2,0.0,MM
331,198.4,-80.4,0.0,MM
332,163.2,-80.0,0.0,MM
333,-152.4,-80.4,0.0,MM
334,-297.2,-80.4,0.0,MM
335,-198.8,-79.6,0.0,MM
336,68.4,-78.8,0.0,MM
337,-164.0,-78.8,0.0,MM
338,211.2,-77.2,0.0,MM
339,34.0,-77.2,0.0,MM
340,-35.2,-77.2,0.0,MM
341,-69.2,-77.6,0.0,MM
342,174.8,-76.0,0.0,MM
343,-212.4,-76.4,0.0,MM
344,-175.6,-75.6,0.0,MM
345,266.4,-74.8,0.0,MM
346,225.2,-74.8,0.0,MM
347,56.4,-74.8,0.0,MM
348,-56.8,-74.8,0.0,MM
349,-226.0,-74.4,0.0,MM
350,100.4,-73.6,0.0,MM
351,112.8,-73.2,0.0,MM
352,-267.2,-73.2,0.0,MM
353,238.0,-72.4,0.0,MM
354,89.6,-72.4,0.0,MM
355,-90.0,-72.4,0.0,MM
356,-102.0,-72.8,0.0,MM
357,-112.4,-72.4,0.0,MM
358,284.0,-71.6,0.0,MM
359,188.4,-71.2,0.0,MM
360,135.2,-71.6,0.0,MM
361,123.2,-71.2,0.0,MM
362,45.6,-71.2,0.0,MM
363,-46.4,-71.2,0.0,MM
364,146.8,-70.8,0.0,MM
365,25.2,-70.8,0.0,MM
366,-124.0,-70.4,0.0,MM
367,-238.4,-70.8,0.0,MM
368,-284.4,-70.8,0.0,MM
369,78.0,-70.0,0.0,MM
370,-25.6,-70.0,0.0,MM
371,-134.8,-70.0,0.0,MM
372,-189.2,-70.0,0.0,MM
373,158.0,-69.2,0.0,MM
374,-78.8,-69.2,0.0,MM
375,-146.0,-69.2,0.0,MM
376,299.6,-68.4,0.0,MM
377,-158.0,-68.4,0.0,MM
378,202.0,-67.6,0.0,MM
379,-203.6,-66.8,0.0,MM
380,-300.4,-66.8,0.0,MM
381,169.6,-66.0,0.0,MM
382,67.6,-66.0,0.0,MM
383,35.6,-66.4,0.0,MM
384,-35.6,-66.0,0.0,MM
385,-67.6,-66.0,0.0,MM
386,-170.4,-65.6,0.0,MM
387,252.4,-64.8,0.0,MM
388,216.0,-64.4,0.0,MM
389,56.4,-64.4,0.0,MM
390,-216.8,-64.4,0.0,MM
391,96.4,-63.6,0.0,MM
392,-56.8,-64.0,0.0,MM
393,-97.2,-63.6,0.0,MM
394,-253.2,-64.0,0.0,MM
395,109.2,-62.8,0.0,MM
396,270.8,-62.0,0.0,MM
397,180.8,-62.0,0.0,MM
398,230.0,-61.2,0.0,MM
399,-108.8,-61.2,0.0,MM
400,119.6,-60.4,0.0,MM
401,45.6,-60.4,0.0,MM
402,-46.4,-60.4,0.0,MM
403,-182.0,-60.4,0.0,MM
404,-270.8,-60.4,0.0,MM
405,150.8,-59.6,0.0,MM
406,-120.4,-59.6,0.0,MM
407,-230.0,-59.6,0.0,MM
408,287.2,-58.8,0.0,MM
409,-151.6,-59.2,0.0,MM
410,193.2,-57.6,0.0,MM
411,131.2,-57.2,0.0,MM
412,-131.6,-57.2,0.0,MM
413,-193.6,-57.2,0.0,MM
414,-288.0,-57.2,0.0,MM
415,242.4,-56.0,0.0,MM
416,76.4,-56.4,0.0,MM
417,65.2,-56.0,0.0,MM
418,207.2,-55.6,0.0,MM
419,163.6,-55.6,0.0,MM
420,-77.2,-55.6,0.0,MM
421,303.2,-55.2,0.0,MM
422,-66.0,-55.2,0.0,MM
423,-164.0,-55.2,0.0,MM
424,-206.8,-54.8,0.0,MM
425,-243.6,-54.8,0.0,MM
426,91.2,-54.0,0.0,MM
427,-303.6,-54.0,0.0,MM
428,54.8,-53.2,0.0,MM
429,-54.4,-53.2,0.0,MM
430,-91.6,-53.2,0.0,MM
431,256.4,-52.4,0.0,MM
432,220.0,-52.0,0.0,MM
433,174.8,-52.4,0.0,MM
434,102.8,-51.6,0.0,MM
435,-103.6,-51.6,0.0,MM
436,-175.2,-51.6,0.0,MM
437,318.4,-50.4,0.0,MM
438,144.4,-50.8,0.0,MM
439,114.8,-50.8,0.0,MM
440,-144.4,-50.8,0.0,MM
441,-220.4,-50.8,0.0,MM
442,-256.0,-50.8,0.0,MM
443,273.2,-49.6,0.0,MM
444,-115.6,-49.6,0.0,MM
445,184.8,-48.4,0.0,MM
446,-185.6,-48.4,0.0,MM
447,-318.8,-48.4,0.0,MM
448,232.8,-47.6,0.0,MM
449,156.8,-47.2,0.0,MM
450,126.0,-47.6,0.0,MM
451,-273.2,-47.6,0.0,MM
452,-126.8,-46.8,0.0,MM
453,-233.6,-46.8,0.0,MM
454,289.2,-46.0,0.0,MM
455,196.4,-45.6,0.0,MM
456,73.2,-46.0,0.0,MM
457,62.0,-46.0,0.0,MM
458,-73.6,-45.6,0.0,MM
459,-157.2,-46.4,0.0,MM
460,245.2,-44.4,0.0,MM
461,85.2,-44.4,0.0,MM
462,-62.0,-44.4,0.0,MM
463,-84.8,-44.4,0.0,MM
464,-197.2,-44.4,0.0,MM
465,-290.0,-43.6,0.0,MM
466,167.2,-42.8,0.0,MM
467,137.2,-42.8,0.0,MM
468,97.6,-42.8,0.0,MM
469,-137.6,-42.8,0.0,MM
470,210.0,-42.0,0.0,MM
471,-97.6,-42.0,0.0,MM
472,-168.4,-42.0,0.0,MM
473,-246.0,-42.4,0.0,MM
474,305.6,-41.2,0.0,MM
475,108.4,-40.8,0.0,MM
476,-210.8,-41.2,0.0,MM
477,-109.2,-40.4,0.0,MM
478,258.0,-39.6,0.0,MM
479,-305.2,-40.0,0.0,MM
480,222.8,-38.4,0.0,MM
481,178.4,-38.8,0.0,MM
482,148.8,-38.8,0.0,MM
483,-258.4,-38.4,0.0,MM
484,120.4,-38.0,0.0,MM
485,-149.2,-38.0,0.0,MM
486,-223.6,-38.0,0.0,MM
487,275.6,-36.8,0.0,MM
488,-120.4,-37.6,0.0,MM
489,-179.2,-37.6,0.0,MM
490,320.4,-35.6,0.0,MM
491,67.6,-35.2,0.0,MM
492,79.6,-34.8,0.0,MM
493,-68.4,-34.8,0.0,MM
494,-275.6,-34.8,0.0,MM
495,-320.4,-34.4,0.0,MM
496,235.2,-34.0,0.0,MM
497,159.6,-34.0,0.0,MM
498,-79.6,-34.0,0.0,MM
499,-160.4,-34.0,0.0,MM
500,291.6,-33.2,0.0,MM
501,130.8,-33.2,0.0,MM
502,-130.8,-33.2,0.0,MM
503,189.6,-32.4,0.0,MM
504,90.4,-32.0,0.0,MM
505,-189.2,-32.0,0.0,MM
506,-235.6,-32.0,0.0,MM
507,-292.4,-32.0,0.0,MM
508,-90.8,-31.6,0.0,MM
509,212.4,-31.2,0.0,MM
510,102.0,-31.2,0.0,MM
511,-102.8,-30.8,0.0,MM
512,170.8,-30.0,0.0,MM
513,-212.4,-29.6,0.0,MM
514,306.8,-28.0,0.0,MM
515,141.6,-28.8,0.0,MM
516,112.8,-28.8,0.0,MM
517,-113.2,-28.0,0.0,MM
518,-170.4,-28.8,0.0,MM
519,248.4,-27.2,0.0,MM
520,-141.2,-26.8,0.0,MM
521,276.8,-25.6,0.0,MM
522,72.8,-26.0,0.0,MM
523,-248.4,-26.0,0.0,MM
524,-307.2,-26.0,0.0,MM
525,225.6,-25.2,0.0,MM
526,124.4,-25.2,0.0,MM
527,-73.2,-25.2,0.0,MM
528,200.4,-24.4,0.0,MM
529,181.6,-24.4,0.0,MM
530,152.0,-24.4,0.0,MM
531,-124.0,-24.4,0.0,MM
532,-152.4,-24.4,0.0,MM
533,-277.2,-24.4,0.0,MM
534,84.0,-23.2,0.0,MM
535,-200.8,-23.2,0.0,MM
536,-225.6,-24.0,0.0,MM
537,-84.0,-22.8,0.0,MM
538,-181.6,-22.8,0.0,MM
539,322.0,-21.6,0.0,MM
540,162.8,-21.2,0.0,MM
541,-162.8,-20.4,0.0,MM
542,-322.8,-20.4,0.0,MM
543,292.4,-19.2,0.0,MM
544,237.6,-19.6,0.0,MM
545,133.6,-19.2,0.0,MM
546,261.2,-18.8,0.0,MM
547,94.4,-18.8,0.0,MM
548,-94.8,-18.8,0.0,MM
549,-134.0,-18.8,0.0,MM
550,-237.6,-18.0,0.0,MM
551,-293.2,-18.0,0.0,MM
552,214.0,-17.2,0.0,MM
553,116.0,-17.2,0.0,MM
554,-116.4,-16.8,0.0,MM
555,-261.2,-17.2,0.0,MM
556,191.6,-16.4,0.0,MM
557,172.8,-15.6,0.0,MM
558,76.4,-15.6,0.0,MM
559,-174.0,-15.6,0.0,MM
560,-192.0,-15.6,0.0,MM
561,-214.8,-15.6,0.0,MM
562,-76.4,-14.4,0.0,MM
563,308.4,-14.0,0.0,MM
564,277.2,-13.2,0.0,MM
565,143.2,-13.2,0.0,MM
566,250.0,-12.0,0.0,MM
567,226.4,-12.0,0.0,MM
568,126.4,-12.0,0.0,MM
569,-144.0,-12.0,0.0,MM
570,-308.4,-12.0,0.0,MM
571,201.2,-10.4,0.0,MM
572,106.4,-10.8,0.0,MM
573,86.0,-10.8,0.0,MM
574,-86.8,-10.8,0.0,MM
575,-106.8,-10.4,0.0,MM
576,-126.0,-10.8,0.0,MM
577,-226.8,-10.4,0.0,MM
578,-250.0,-10.4,0.0,MM
579,-277.6,-11.2,0.0,MM
580,183.2,-9.2,0.0,MM
581,163.6,-9.2,0.0,MM
582,-202.4,-9.2,0.0,MM
583,-163.6,-8.0,0.0,MM
584,-182.0,-8.4,0.0,MM
585,238.0,8.4,0.0,MM
586,214.8,9.2,0.0,MM
587,134.8,9.2,0.0,MM
588,-135.6,9.6,0.0,MM
589,-214.8,9.6,0.0,MM
590,-238.0,10.0,0.0,MM
591,153.6,10.8,0.0,MM
592,-154.0,11.2,0.0,MM
593,173.2,12.0,0.0,MM
594,192.0,12.4,0.0,MM
595,-173.2,12.4,0.0,MM
596,308.0,13.6,0.0,MM
597,277.6,13.2,0.0,MM
598,83.2,13.2,0.0,MM
599,106.0,14.4,0.0,MM
600,-86.0,14.0,0.0,MM
601,-192.0,14.0,0.0,MM
602,-106.4,14.8,0.0,MM
603,-277.6,14.8,0.0,MM
604,337.2,15.2,0.0,MM
605,226.0,15.2,0.0,MM
606,125.6,15.2,0.0,MM
607,-125.6,16.0,0.0,MM
608,-308.4,15.2,0.0,MM
609,-226.4,16.4,0.0,MM
610,250.0,16.8,0.0,MM
611,162.8,17.2,0.0,MM
612,143.2,17.2,0.0,MM
613,75.6,17.2,0.0,MM
614,-338.0,17.2,0.0,MM
