id,x,y,z
194,-68.63161408,126.8201149,0
195,-82.16632189,118.500361,0
196,-94.70364187,108.7421731,0
197,-106.0913879,97.66400263,0
198,-116.1913282,85.40032343,0
199,-124.8808632,72.1,0
200,-132.0545137,57.92448023,0
201,-137.6252013,43.04583575,0
202,-141.5253053,27.64467312,0
203,-143.7074839,11.90794162,0
204,-144.1452483,-3.973336169,0
205,-142.8332846,-19.80638304,0
206,-139.7875183,-35.39900725,0
207,-135.044921,-50.56193546,0
208,-128.6630612,-65.11111027,0
209,-120.7194062,-78.8699244,0
210,-111.3103811,-91.67136449,0
211,-100.5501987,-103.3600384,0
212,-88.56947317,-113.7940615,0
213,-75.5136342,-122.8467788,0
214,-61.541162,-130.4083026,0
215,-46.82166346,-136.3868463,0
216,-31.53381335,-140.7098384,0
217,-15.86318547,-143.3248037,0
218,15.65333731,-158.9310008,0
219,31.15592443,-156.6314093,0
220,46.35846296,-152.8233716,0
221,61.11454415,-147.5435613,0
222,75.28205887,-140.8428259,0
223,88.72456621,-132.7856971,0
224,101.3126075,-123.4497694,0
225,112.924953,-112.924953,0
226,123.4497694,-101.3126075,0
227,132.7856971,-88.72456621,0
228,140.8428259,-75.28205887,0
229,147.5435613,-61.11454415,0
230,152.8233716,-46.35846296,0
231,156.6314093,-31.15592443,0
232,158.9310008,-15.65333731,0
233,159.7,-9.78E-15,0
234,158.9310008,15.65333731,0
235,156.6314093,31.15592443,0
236,152.8233716,46.35846296,0
237,147.5435613,61.11454415,0
238,140.8428259,75.28205887,0
239,132.7856971,88.72456621,0
240,123.4497694,101.3126075,0
241,112.924953,112.924953,0
242,101.3126075,123.4497694,0
243,88.72456621,132.7856971,0
244,75.28205887,140.8428259,0
245,61.11454415,147.5435613,0
246,46.35846296,152.8233716,0
247,31.15592443,156.6314093,0
248,15.65333731,158.9310008,0
249,1.96E-14,159.7,0
250,-15.65333731,158.9310008,0
251,-31.15592443,156.6314093,0
252,-46.35846296,152.8233716,0
253,-61.11454415,147.5435613,0
254,-75.28205887,140.8428259,0
255,-88.72456621,132.7856971,0
256,-101.3126075,123.4497694,0
257,-112.924953,112.924953,0
258,-123.4497694,101.3126075,0
259,-132.7856971,88.72456621,0
260,-140.8428259,75.28205887,0
261,-147.5435613,61.11454415,0
262,-152.8233716,46.35846296,0
263,-156.6314093,31.15592443,0
264,-158.9310008,15.65333731,0
265,-159.7,2.93E-14,0
266,-158.9310008,-15.65333731,0
267,-156.6314093,-31.15592443,0
268,-152.8233716,-46.35846296,0
269,-147.5435613,-61.11454415,0
270,-140.8428259,-75.28205887,0
