id,x,y
526,-184.812,148.37
527,-194.228,135.81
528,-202.793,122.654
529,-210.467,108.961
530,-217.219,94.789
531,-223.017,80.201
532,-227.837,65.262
533,-231.658,50.036
534,-234.462,34.591
535,-236.238,18.994
536,-236.977,3.313
537,-236.676,-12.381
538,-235.338,-28.022
539,-232.966,-43.54
540,-229.573,-58.866
541,-225.173,-73.935
542,-219.784,-88.679
543,-213.432,-103.034
544,-206.143,-116.937
545,-197.949,-130.327
546,-188.888,-143.145
547,-178.997,-155.335
548,-168.322,-166.844
549,-156.908,-177.62
550,-144.805,-187.618
551,-132.067,-196.792
552,-118.75,-205.103
553,-104.912,-212.515
554,-90.614,-218.993
555,-75.918,-224.512
556,-60.889,-229.045
557,-45.593,-232.573
558,-30.097,-235.081
559,-14.469,-236.558
560,7.849,236.87
561,23.512,235.831
562,39.072,233.757
563,54.461,230.658
564,69.611,226.546
565,84.455,221.441
566,98.929,215.365
567,112.969,208.343
568,126.514,200.408
569,139.503,191.593
570,151.88,181.938
571,163.591,171.485
572,174.584,160.279
573,184.812,148.37
574,194.228,135.81
575,202.793,122.654
576,210.467,108.961
577,217.219,94.789
578,223.017,80.201
579,227.837,65.262
580,231.658,50.036
581,234.462,34.591
582,236.238,18.994
583,236.977,3.313
584,236.676,-12.381
585,235.338,-28.022
586,232.966,-43.54
587,229.573,-58.866
588,225.173,-73.935
589,219.784,-88.679
590,213.432,-103.034
591,206.143,-116.937
592,197.949,-130.327
593,188.888,-143.145
594,178.997,-155.335
595,168.322,-166.844
596,156.908,-177.62
597,144.805,-187.618
598,132.067,-196.792
599,118.75,-205.103
600,104.912,-212.515
601,90.614,-218.993
602,75.918,-224.512
603,60.889,-229.045
604,45.593,-232.573
605,30.097,-235.081
606,14.469,-236.558
607,0,260
608,-22.983,258.982
609,-45.787,255.937
610,-68.232,250.887
611,-90.142,243.874
612,-111.347,234.951
613,-131.681,224.188
614,-150.983,211.67
615,-169.103,197.495
616,-185.899,181.773
617,-201.24,164.629
618,-215.005,146.195
619,-227.086,126.617
620,-237.39,106.048
621,-245.835,84.648
622,-252.355,62.585
623,-256.9,40.033
624,-259.433,17.167
625,-259.935,-5.834
626,-258.401,-28.789
627,-254.845,-51.518
628,-249.293,-73.844
629,-241.79,-95.592
630,-232.393,-116.591
631,-221.177,-136.678
632,-208.229,-155.694
633,-193.651,-173.492
634,-177.556,-189.931
635,-160.072,-204.883
636,-141.334,-218.231
637,-121.49,-229.87
638,-100.694,-239.71
639,-79.11,-247.672
640,-56.907,-253.696
641,-34.258,-257.733
642,-11.341,-259.753
643,22.983,258.982
644,45.787,255.937
645,68.232,250.887
646,90.142,243.874
647,111.347,234.951
648,131.681,224.188
649,150.983,211.67
650,169.103,197.495
651,185.899,181.773
652,201.24,164.629
653,215.005,146.195
654,227.086,126.617
655,237.39,106.048
656,245.835,84.648
657,252.355,62.585
658,256.9,40.033
659,259.433,17.167
660,259.935,-5.834
661,258.401,-28.789
662,254.845,-51.518
663,249.293,-73.844
664,241.79,-95.592
665,232.393,-116.591
666,221.177,-136.678
667,208.229,-155.694
668,193.651,-173.492
669,177.556,-189.931
670,160.072,-204.883
671,141.334,-218.231
672,121.49,-229.87
673,100.694,-239.71
674,79.11,-247.672
675,56.907,-253.696
676,34.258,-257.733
677,11.341,-259.753
678,-12.081,272.733
679,-36.147,270.596
680,-59.93,266.341
681,-83.244,259.999
682,-105.906,251.62
683,-127.739,241.271
684,-148.571,229.032
685,-168.239,214.999
686,-186.589,199.282
687,-203.478,182.005
688,-218.773,163.301
689,-232.355,143.319
690,-244.116,122.214
691,-253.966,100.151
692,-261.826,77.304
693,-267.636,53.852
694,-271.349,29.978
695,-272.937,5.869
696,-272.387,-18.286
697,-269.703,-42.297
698,-264.907,-65.978
699,-258.037,-89.141
700,-249.144,-111.607
701,-238.301,-133.198
702,-225.591,-153.746
703,-211.114,-173.089
704,-194.983,-191.077
705,-177.326,-207.568
706,-158.279,-222.434
707,-137.992,-235.557
708,-116.625,-246.835
709,-94.344,-256.18
710,-71.324,-263.518
711,-47.746,-268.792
712,-23.794,-271.961
713,12.081,272.733
714,36.147,270.596
715,59.93,266.341
716,83.244,259.999
717,105.906,251.62
718,127.739,241.271
719,148.571,229.032
720,168.239,214.999
721,186.589,199.282
722,203.478,182.005
723,218.773,163.301
724,232.355,143.319
725,244.116,122.214
726,253.966,100.151
727,261.826,77.304
728,267.636,53.852
729,271.349,29.978
730,272.937,5.869
731,272.387,-18.286
732,269.703,-42.297
733,264.907,-65.978
734,258.037,-89.141
735,249.144,-111.607
736,238.301,-133.198
737,225.591,-153.746
738,211.114,-173.089
739,194.983,-191.077
740,177.326,-207.568
741,158.279,-222.434
742,137.992,-235.557
743,116.625,-246.835
744,94.344,-256.18
745,71.324,-263.518
746,47.746,-268.792
747,23.794,-271.961
748,0,286
749,-25.282,284.88
750,-50.365,281.53
751,-75.055,275.976
752,-99.157,268.261
753,-122.482,258.446
754,-144.849,246.607
755,-166.081,232.837
756,-186.013,217.244
757,-204.489,199.951
758,-221.363,181.092
759,-236.505,160.815
760,-249.795,139.279
761,-261.129,116.652
762,-270.418,93.112
763,-277.591,68.844
764,-282.59,44.036
765,-285.376,18.883
766,-285.928,-6.417
767,-284.241,-31.668
768,-280.329,-56.67
769,-274.222,-81.228
770,-265.969,-105.151
771,-255.632,-128.25
772,-243.294,-150.346
773,-229.052,-171.264
774,-213.016,-190.841
775,-195.312,-208.924
776,-176.079,-225.371
777,-155.468,-240.054
778,-133.639,-252.857
779,-110.764,-263.68
780,-87.021,-272.439
781,-62.598,-279.065
782,-37.684,-283.506
783,-12.475,-285.728
784,25.282,284.88
785,50.365,281.53
786,75.055,275.976
787,99.157,268.261
788,122.482,258.446
789,144.849,246.607
790,166.081,232.837
791,186.013,217.244
792,204.489,199.951
793,221.363,181.092
794,236.505,160.815
795,249.795,139.279
796,261.129,116.652
797,270.418,93.112
798,277.591,68.844
799,282.59,44.036
800,285.376,18.883
801,285.928,-6.417
802,284.241,-31.668
803,280.329,-56.67
804,274.222,-81.228
805,265.969,-105.151
806,255.632,-128.25
807,243.294,-150.346
808,229.052,-171.264
809,213.016,-190.841
810,195.312,-208.924
811,176.079,-225.371
812,155.468,-240.054
813,133.639,-252.857
814,110.764,-263.68
815,87.021,-272.439
816,62.598,-279.065
817,37.684,-283.506
818,12.475,-285.728
819,-13.231,298.707
820,-39.59,296.367
821,-65.638,291.706
822,-91.172,284.761
823,-115.993,275.584
824,-139.904,264.249
825,-162.72,250.845
826,-184.262,235.475
827,-204.36,218.262
828,-222.857,199.338
829,-239.609,178.854
830,-254.484,156.968
831,-267.366,133.853
832,-278.153,109.689
833,-286.762,84.667
834,-293.125,58.981
835,-297.192,32.833
836,-298.931,6.428
837,-298.329,-20.027
838,-295.389,-46.326
839,-290.137,-72.261
840,-282.611,-97.631
841,-272.873,-122.236
842,-260.996,-145.883
843,-247.076,-168.388
844,-231.22,-189.574
845,-213.553,-209.275
846,-194.214,-227.337
847,-173.353,-243.618
848,-151.134,-257.991
849,-127.732,-270.343
850,-103.329,-280.578
851,-78.117,-288.615
852,-52.293,-294.392
853,-26.06,-297.862
854,13.231,298.707
855,39.59,296.367
856,65.638,291.706
857,91.172,284.761
858,115.993,275.584
859,139.904,264.249
860,162.72,250.845
861,184.262,235.475
862,204.36,218.262
863,222.857,199.338
864,239.609,178.854
865,254.484,156.968
866,267.366,133.853
867,278.153,109.689
868,286.762,84.667
869,293.125,58.981
870,297.192,32.833
871,298.931,6.428
872,298.329,-20.027
873,295.389,-46.326
874,290.137,-72.261
875,282.611,-97.631
876,272.873,-122.236
877,260.996,-145.883
878,247.076,-168.388
879,231.22,-189.574
880,213.553,-209.275
881,194.214,-227.337
882,173.353,-243.618
883,151.134,-257.991
884,127.732,-270.343
885,103.329,-280.578
886,78.117,-288.615
887,52.293,-294.392
888,26.06,-297.862
889,0,313
890,-27.668,311.775
891,-55.12,308.108
892,-82.141,302.03
893,-108.518,293.586
894,-134.045,282.844
895,-158.523,269.888
896,-181.76,254.818
897,-203.574,237.753
898,-223.794,218.827
899,-242.261,198.188
900,-258.832,175.997
901,-273.377,152.428
902,-285.781,127.665
903,-295.947,101.903
904,-303.797,75.343
905,-309.268,48.193
906,-312.317,20.666
907,-312.921,-7.023
908,-311.075,-34.657
909,-306.794,-62.02
910,-300.111,-88.897
911,-291.077,-115.078
912,-279.765,-140.358
913,-266.263,-164.539
914,-250.676,-187.432
915,-233.126,-208.857
916,-213.751,-228.647
917,-192.702,-246.647
918,-170.145,-262.716
919,-146.255,-276.728
920,-121.22,-288.573
921,-95.237,-298.159
922,-68.507,-305.411
923,-41.242,-310.271
924,-13.653,-312.702
925,27.668,311.775
926,55.12,308.108
927,82.141,302.03
928,108.518,293.586
929,134.045,282.844
930,158.523,269.888
931,181.76,254.818
932,203.574,237.753
933,223.794,218.827
934,242.261,198.188
935,258.832,175.997
936,273.377,152.428
937,285.781,127.665
938,295.947,101.903
939,303.797,75.343
940,309.268,48.193
941,312.317,20.666
942,312.921,-7.023
943,311.075,-34.657
944,306.794,-62.02
945,300.111,-88.897
946,291.077,-115.078
947,279.765,-140.358
948,266.263,-164.539
949,250.676,-187.432
950,233.126,-208.857
